kraj,nazev,measure,obyvatel,Deinstitucionalizace,Kompletní sociální infrastruktura,Komunitní centra,Sociální bydlení,Sociální služby,Vše
CZ010,Hlavní město Praha,n,1384732,0,0,0,0,22,22
CZ010,Hlavní město Praha,total,1384732,0,0,0,0,87914531.29,87914531.29
CZ020,Středočeský kraj,n,1455940,0,73,8,54,69,204
CZ020,Středočeský kraj,total,1455940,0,338360989.05,95779612.59,282006638.47,515066454.55,1231213694.66
CZ031,Jihočeský kraj,n,654505,0,49,7,15,34,105
CZ031,Jihočeský kraj,total,654505,0,92503338.53,85496757.79,93938306.94,217727361.94,489665765.2
CZ032,Plzeňský kraj,n,613374,1,39,2,13,16,71
CZ032,Plzeňský kraj,total,613374,78206534.01,234279589.57,24100035.44,81068065.03,140732927.85999998,558387151.91
CZ041,Karlovarský kraj,n,295077,3,24,3,8,11,49
CZ041,Karlovarský kraj,total,295077,49018679.33,72581882.7,48236467.32,58708512.65,57290595.980000004,285836137.98
CZ042,Ústecký kraj,n,811169,2,36,6,48,71,163
CZ042,Ústecký kraj,total,811169,135555680.87,232910987.85,96786315.71000001,304978662.19,470486288.88,1240717935.5
CZ051,Liberecký kraj,n,450728,2,25,1,16,34,78
CZ051,Liberecký kraj,total,450728,88968477.71,573151026.46,20000000,136260012.8,284916891.36,1103296408.33
CZ052,Královéhradecký kraj,n,556949,3,55,4,22,44,128
CZ052,Královéhradecký kraj,total,556949,71124197.64,57211141.11,77495681.05,153973365.57,347923133.34,707727518.71
CZ053,Pardubický kraj,n,530560,5,55,3,25,43,131
CZ053,Pardubický kraj,total,530560,186337541.7,86135435.84,28735676.91,167360578.27,322419702.87,790988935.59
CZ063,Kraj Vysočina,n,517960,5,39,3,21,30,98
CZ063,Kraj Vysočina,total,517960,336188198.87,173274670.89000002,60000000,113133736.32,333680626.15,1016277232.23
CZ064,Jihomoravský kraj,n,1226749,2,83,5,52,37,179
CZ064,Jihomoravský kraj,total,1226749,94757071.05,759871297.03,66605109.76,311887767.5,201948665.73,1435069911.07
CZ071,Olomoucký kraj,n,632864,2,50,6,70,39,167
CZ071,Olomoucký kraj,total,632864,75792260.17,67724627.65,85355236.02,434062704.18,338669109.77,1001603937.79
CZ072,Zlínský kraj,n,580744,1,38,6,38,42,125
CZ072,Zlínský kraj,total,580744,11145274.2,219186653.7,73683505.67999999,219530573.98,254355414.66,777901422.22
CZ080,Moravskoslezský kraj,n,1189204,9,41,6,28,77,161
CZ080,Moravskoslezský kraj,total,1189204,336590009.88,131411579.84,63580183.05,162767716.02,626142690.58,1320492179.37
