year,SPR-RSČ,KSČM,HSD-SMS,ANO,ČMSS,Other,LSU,LB,LSNS,ČMUS,HSDMS,KDU-ČSL,Nezařazení,SZ,ODS,ČSSD,Piráti,ODA,KDS,US,TOP 09,STAN,VV,Úsvit,ONH,SPD
1993,34163,0,13765,0,0,138745,61237,132383,13022,21180,817,91279,7498,0,399812,98397,0,103985,69587,0,0,0,0,0,0,0
1994,16020,60056,5180,0,1638,93590,30585,68201,11797,26671,0,71215,20955,0,288197,138747,0,95633,69346,0,0,0,0,0,0,0
1995,21813,84508,0,0,0,113528,0,56797,7630,58482,0,96258,23936,0,402176,150010,0,135079,46361,0,0,0,0,0,0,0
1996,106397,102898,0,0,0,95535,0,20130,1431,17751,0,112920,11880,0,425807,238847,0,150743,6374,0,0,0,0,0,1418,0
1997,377117,304014,0,0,0,34665,0,0,0,0,0,140934,51296,0,570316,586709,0,197881,0,0,0,0,0,0,0,0
1998,113844,221491,0,6232,0,138752,0,0,0,0,0,98550,10608,0,193582,348810,0,104238,0,109438,0,0,0,0,0,0
1999,0,292526,0,0,0,272236,0,0,0,0,0,148926,182,0,669308,834218,0,0,0,134681,0,0,0,0,0,0
2000,0,252411,0,0,0,265053,0,0,0,0,0,135379,4148,0,679983,804001,0,0,0,129623,0,0,0,0,0,0
2001,0,266589,0,0,0,224996,0,0,0,0,0,168432,12284,0,699989,770763,0,0,0,114681,0,0,0,0,0,0
2002,0,280514,0,0,0,166408,0,0,0,0,0,136674,1890,0,657044,679886,0,0,0,81437,0,0,0,0,0,0
2003,0,450062,0,0,0,124343,0,0,0,0,0,310089,303,0,773371,842663,0,0,0,51355,0,0,0,0,0,0
2004,0,385260,0,0,0,101389,0,0,0,0,0,263767,3926,0,804833,812106,0,0,0,71548,0,0,0,0,0,0
2005,0,433246,0,0,0,72961,0,0,0,0,0,334721,7770,0,851563,907609,0,0,0,81854,0,0,0,0,0,0
2006,0,290541,0,0,0,60351,0,0,0,0,0,188301,4641,9441,506369,531859,0,0,0,23198,0,0,0,0,0,0
2007,0,313591,0,0,0,99586,0,0,0,0,0,123729,12295,17303,629730,695082,0,0,0,0,0,0,0,0,0,0
2008,0,300648,0,0,0,63031,0,0,0,0,0,160554,11079,11852,625314,676590,0,0,0,0,0,0,0,0,0,0
2009,0,358580,0,0,0,190236,0,0,0,0,0,195264,28201,11198,663531,704120,0,0,0,0,0,0,0,0,0,0
2010,0,252589,0,0,0,148187,0,0,0,0,0,69345,19013,2440,555086,572625,0,0,0,0,106280,1374,66697,0,0,0
2011,0,306787,0,0,0,110331,0,0,0,0,0,0,35056,0,612375,995936,0,0,0,0,347166,3780,184710,0,0,0
2012,0,244211,0,0,0,79065,0,0,0,0,0,0,204145,0,514054,715686,0,0,0,0,274892,2984,190198,0,0,0
2013,0,140300,0,21239,0,69098,0,0,0,0,0,4459,92778,0,324646,336313,0,0,0,0,191857,1848,108594,6272,0,0
2014,0,387118,0,394711,0,105167,0,0,0,0,0,190645,8002,0,495861,627221,0,0,0,0,397403,132143,0,181724,0,0
2015,0,369688,0,389363,0,111233,0,0,0,0,0,254938,30186,0,589770,524693,0,0,0,0,458784,120166,0,149954,0,0
2016,0,396391,0,471998,0,71359,0,0,0,0,0,307697,30861,0,583828,598073,0,0,0,0,419397,65925,0,133876,0,0
2017,0,409513,0,483501,0,27784,0,0,0,0,0,197964,0,0,373249,378695,14326,0,0,0,309642,5424,0,115690,0,15332
2018,0,269173,0,670989,0,30159,0,0,0,0,0,169091,0,0,637919,235187,303476,0,0,0,175446,85132,0,0,0,205136
2019,0,250025,0,808608,0,41241,0,0,0,0,0,181339,0,0,668985,316184,383844,0,0,0,173496,90988,0,0,0,267122
2020,0,328117,0,765252,0,51805,0,0,0,0,0,196527,0,0,605011,373063,445276,0,0,0,183818,110405,0,0,0,296863
2021,0,268900,0,752074,0,24361,0,0,0,0,0,183040,0,0,398917,270282,414782,0,0,0,153954,63480,0,0,0,371692
2022,0,0,0,1737947,0,8066,0,0,0,0,0,249664,0,0,498985,0,194604,0,0,0,173802,268080,0,0,0,804942
2023,0,0,0,2136580,0,5392,0,0,0,0,0,309052,0,0,445698,0,192881,0,0,0,183297,314006,0,0,0,689510
