kraj,n,total,nazev,obyvatel
CZ010,22,87914531.29,Hlavní město Praha,1384732
CZ020,204,1231213694.66,Středočeský kraj,1455940
CZ031,105,489665765.2,Jihočeský kraj,654505
CZ032,71,558387151.91,Plzeňský kraj,613374
CZ041,49,285836137.98,Karlovarský kraj,295077
CZ042,163,1240717935.5,Ústecký kraj,811169
CZ051,78,1103296408.33,Liberecký kraj,450728
CZ052,128,707727518.71,Královéhradecký kraj,556949
CZ053,131,790988935.59,Pardubický kraj,530560
CZ063,98,1016277232.23,Kraj Vysočina,517960
CZ064,179,1435069911.07,Jihomoravský kraj,1226749
CZ071,167,1001603937.79,Olomoucký kraj,632864
CZ072,125,777901422.22,Zlínský kraj,580744
CZ080,161,1320492179.37,Moravskoslezský kraj,1189204
