kod_obce,nazev_obce,kraj,pocet_osob_v_exekuci,pocet_exekuci,pocet_obyvatel
500011,Želechovice nad Dřevnicí,Zlínský kraj,50,246,1856
500020,Petrov nad Desnou,Olomoucký kraj,44,174,1223
500046,Libhošť,Moravskoslezský kraj,32,148,1777
500062,Krhová,Zlínský kraj,35,130,2080
500071,Poličná,Zlínský kraj,20,76,1757
500101,Bražec,Karlovarský kraj,34,156,249
500127,Doupovské Hradiště,Karlovarský kraj,16,96,164
500135,Kozlov,Olomoucký kraj,40,251,275
500151,Luboměř pod Strážnou,Olomoucký kraj,4,5,119
500160,Město Libavá,Olomoucký kraj,98,566,560
500194,Polná na Šumavě,Jihočeský kraj,46,326,198
500259,Veřovice,Moravskoslezský kraj,45,152,1979
500291,Vřesina,Moravskoslezský kraj,47,247,2846
500496,Olomouc,Olomoucký kraj,6042,33966,102167
500526,Bělkovice-Lašťany,Olomoucký kraj,61,257,2275
500623,Bílá Lhota,Olomoucký kraj,32,194,1172
500801,Blatec,Olomoucký kraj,22,129,652
500852,Bohuňovice,Olomoucký kraj,66,415,2550
500861,Bouzov,Olomoucký kraj,57,306,1585
500879,Bystročice,Olomoucký kraj,26,137,893
501476,Dlouhá Loučka,Olomoucký kraj,90,425,1980
501646,Dolany,Olomoucký kraj,70,366,2930
501751,Drahanovice,Olomoucký kraj,62,331,1838
501794,Dub nad Moravou,Olomoucký kraj,61,228,1620
501841,Grygov,Olomoucký kraj,54,262,1524
502146,Hlubočky,Olomoucký kraj,221,1117,4214
502235,Hněvotín,Olomoucký kraj,53,245,1892
502405,Hnojice,Olomoucký kraj,27,140,659
502545,Horka nad Moravou,Olomoucký kraj,109,517,2664
502839,Cholina,Olomoucký kraj,16,67,708
503142,Jívová,Olomoucký kraj,33,186,650
503304,Kožušany-Tážaly,Olomoucký kraj,22,120,875
503410,Žitovlice,Středočeský kraj,6,30,184
503444,Litovel,Olomoucký kraj,404,2443,9721
503622,Luká,Olomoucký kraj,17,58,905
503657,Lutín,Olomoucký kraj,121,587,3241
503738,Majetín,Olomoucký kraj,36,162,1180
503916,Kostelec,Plzeňský kraj,47,318,596
504246,Mladeč,Olomoucký kraj,22,143,725
504301,Dřenice,Pardubický kraj,13,63,426
504441,Náklo,Olomoucký kraj,48,269,1500
504505,Náměšť na Hané,Olomoucký kraj,60,234,2190
504785,Paseka,Olomoucký kraj,58,260,1282
504807,Lány,Pardubický kraj,3,17,287
504921,Třibřichy,Pardubický kraj,5,25,281
504955,Dvakačovice,Pardubický kraj,5,33,227
505005,Bítovany,Pardubický kraj,4,17,438
505013,Příkazy,Olomoucký kraj,42,146,1341
505030,Dolní Bezděkov,Pardubický kraj,6,27,269
505081,Senice na Hané,Olomoucký kraj,59,359,1773
505099,Červená Hora,Královéhradecký kraj,5,28,194
505111,Slatinice,Olomoucký kraj,46,228,1574
505145,Březová nad Svitavou,Pardubický kraj,107,701,1615
505161,Štěpánov,Olomoucký kraj,162,927,3565
505188,Šternberk,Olomoucký kraj,710,4540,13279
505218,Šumvald,Olomoucký kraj,51,280,1656
505269,Těšetice,Olomoucký kraj,57,285,1345
505293,Troubelice,Olomoucký kraj,62,370,1852
505366,Tršice,Olomoucký kraj,52,285,1862
505391,Bělá u Jevíčka,Pardubický kraj,10,54,356
505501,Újezd,Olomoucký kraj,100,508,1493
505528,Jenčice,Ústecký kraj,15,73,334
505587,Uničov,Olomoucký kraj,672,3480,11166
505609,Velká Bystřice,Olomoucký kraj,122,648,3663
505650,Velký Týnec,Olomoucký kraj,73,330,3171
505668,Velký Újezd,Olomoucký kraj,28,197,1394
505781,Zápy,Středočeský kraj,41,188,927
505862,Žerotín,Olomoucký kraj,9,44,453
505927,Opava,Moravskoslezský kraj,3013,14800,55548
506192,Bohuslavice,Moravskoslezský kraj,40,176,1786
506214,Bolatice,Moravskoslezský kraj,78,305,4511
506320,Brumovice,Moravskoslezský kraj,43,164,1514
506451,Březová,Moravskoslezský kraj,44,203,1412
506460,Budišov nad Budišovkou,Moravskoslezský kraj,307,1527,2822
506486,Boží Dar,Karlovarský kraj,10,53,317
506494,Nové Hamry,Karlovarský kraj,11,32,362
506621,Čichalov,Karlovarský kraj,21,123,176
506664,Skořice,Plzeňský kraj,13,68,276
506699,Otmarov,Jihomoravský kraj,6,29,391
506702,Dolní Benešov,Moravskoslezský kraj,149,745,3899
506711,Dolní Lhota,Moravskoslezský kraj,24,119,1510
506729,Dvorce,Kraj Vysočina,6,18,210
506737,Chvalčov,Zlínský kraj,70,365,1619
